PacketIndex,Byte1,Byte2,Byte3,Byte4,Byte5,Byte6,Byte7,Byte8,Byte9,Byte10,Byte11,Byte12,Byte13,Byte14,Byte15,Byte16,Byte17,Byte18,Byte19,Byte20,Byte21,Byte22,Byte23,Byte24,Byte25,Byte26,Byte27,Byte28,Byte29,Byte30
0001,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,30,0e,00,00,32,30,38,fe,
0004,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,30,0e,00,00,32,30,38,fe,
0006,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,30,0e,00,00,32,30,38,fe,
0008,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,30,0e,00,00,32,30,38,fe,
0010,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0011,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,30,0e,00,00,32,30,38,fe,
0012,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0013,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,30,0e,00,00,32,30,38,fe,
0014,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0015,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,30,0e,00,80,3f,f8,,,
0016,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0017,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,30,0e,00,00,32,30,38,fe,
0018,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0019,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,30,0e,00,00,32,30,38,fe,
0020,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,30,0e,00,00,32,30,38,fe,
0022,c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0023,ff,80,80,c0,e0,fc,00,30,42,00,32,30,00,30,82,40,00,30,8e,00,02,3e,02,f2,fe,,,,,
0024,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0025,00,82,02,30,fe,4e,3f,fe,fe,0f,7d,00,f2,93,b0,7e,3e,e6,ff,06,e1,02,f2,fe,,,,,,
0026,fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0027,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0028,30,32,26,00,0c,30,40,00,f4,30,00,80,32,00,36,30,00,30,02,9e,00,cd,0f,19,ff,03,fc,,,
0029,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,30,36,26,00,0c,30,40,00,fc,30,00,00,32,00,32,30,00,30,82,40,00,30,ce,00,40,32,30,f0,,
