PacketIndex,Byte1,Byte2,Byte3,Byte4,Byte5,Byte6,Byte7,Byte8,Byte9,Byte10,Byte11,Byte12,Byte13,Byte14,Byte15,Byte16,Byte17,Byte18,Byte19,Byte20,Byte21,Byte22,Byte23,Byte24,Byte25,Byte26,Byte27,Byte28,Byte29
0001,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,82,
0004,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,82,
0006,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,82,
0008,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,82,
0010,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0011,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,82,
0012,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0013,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,82,
0014,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0015,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,ff,60,00,c0,f0,,
0016,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0017,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,82,
0018,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0019,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,82,
0020,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,82,
0022,c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0023,ff,c0,80,40,00,f0,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,82,,,,,
0024,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0025,30,36,e6,00,0c,b0,00,fc,01,c0,80,fb,ff,ff,fe,fe,fe,c6,8e,38,00,32,30,82,,,,,
0026,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0027,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,f8,00,fe,00,00,80,fc,,,,
0028,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0029,30,36,26,00,0c,30,40,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,82,
0030,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
