PacketIndex,Byte1,Byte2,Byte3,Byte4,Byte5,Byte6,Byte7,Byte8,Byte9,Byte10,Byte11,Byte12,Byte13,Byte14,Byte15,Byte16,Byte17,Byte18,Byte19,Byte20,Byte21,Byte22,Byte23,Byte24,Byte25,Byte26,Byte27,Byte28
0001,00,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,30,36,26,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,f0
0004,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,30,36,26,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,f0
0006,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,30,36,26,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,f0
0008,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009,30,36,26,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,f0
0010,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0011,30,36,26,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,f0
0012,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0013,30,36,36,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,f0
0014,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0015,30,36,36,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,f2,fe,
0016,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0017,30,36,26,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,f0
0018,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0019,30,36,26,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,f0
0020,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021,30,36,26,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,f0
0022,fe,,,,,,,,,,,,,,,,,,,,,,,,,,,
0023,f0,fe,fc,fc,00,06,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,f0,,,,
0024,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0025,30,36,26,00,60,3f,fc,f0,00,32,00,80,00,fc,00,8e,00,00,19,98,f0,,,,,,,
0026,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0027,30,36,26,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,00,fe,ff,fe,f9,f0,,,
0028,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0029,30,36,26,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,f0
0030,02,,,,,,,,,,,,,,,,,,,,,,,,,,,
0031,30,36,26,00,0c,30,02,00,fc,30,00,80,32,00,32,30,00,30,82,40,00,bc,0c,00,00,32,30,f0
